"Shape","Date","Value"
"egg","Oct-14"," 1"
"egg","Oct-15"," 5"
"egg","Oct-16"," 2"
"egg","Sep-13"," 2"
"egg","Sep-14"," 10"
"egg","Sep-15"," 4"
"egg","Sep-16"," 3"
"oval","Apr-13"," 14"
"oval","Apr-14"," 27"
"oval","Apr-15"," 15"
"oval","Apr-16"," 11"
"oval","Apr-17"," 9"
"oval","Aug-13"," 36"
"oval","Aug-14"," 32"
"oval","Aug-15"," 34"
"oval","Aug-16"," 27"
"oval","Aug-17"," 13"
"oval","Dec-13"," 22"
"oval","Dec-14"," 15"
"oval","Dec-15"," 19"
"oval","Dec-16"," 15"
"oval","Feb-13"," 16"
"oval","Feb-14"," 32"
"oval","Feb-15"," 7"
"oval","Feb-16"," 9"
"oval","Feb-17"," 24"
"oval","Jan-13"," 13"
"oval","Jan-14"," 25"
"oval","Jan-15"," 18"
"oval","Jan-16"," 14"
"oval","Jan-17"," 8"
"oval","Jul-13"," 46"
"oval","Jul-14"," 50"
"oval","Jul-15"," 31"
"oval","Jul-16"," 17"
"oval","Jul-17"," 25"
"oval","Jun-13"," 26"
"oval","Jun-14"," 35"
"oval","Jun-15"," 23"
"oval","Jun-16"," 17"
"oval","Jun-17"," 26"
"oval","Mar-13"," 19"
"oval","Mar-14"," 22"
"oval","Mar-15"," 9"
"oval","Mar-16"," 17"
"oval","Mar-17"," 13"
"oval","May-13"," 26"
"oval","May-14"," 29"
"oval","May-15"," 25"
"oval","May-16"," 18"
"oval","May-17"," 15"
"oval","Nov-13"," 35"
"oval","Nov-14"," 25"
"oval","Nov-15"," 28"
"oval","Nov-16"," 18"
"oval","Oct-13"," 27"
"oval","Oct-14"," 21"
"oval","Oct-15"," 35"
"oval","Oct-16"," 17"
"oval","Sep-13"," 25"
"oval","Sep-14"," 26"
"oval","Sep-15"," 21"
"oval","Sep-16"," 25"
"rectangle","Apr-13"," 6"
"rectangle","Apr-14"," 13"
"rectangle","Apr-15"," 9"
"rectangle","Apr-16"," 10"
"rectangle","Apr-17"," 5"
"rectangle","Aug-13"," 16"
"rectangle","Aug-14"," 20"
"rectangle","Aug-15"," 11"
"rectangle","Aug-16"," 10"
"rectangle","Aug-17"," 4"
"rectangle","Dec-13"," 9"
"rectangle","Dec-14"," 5"
"rectangle","Dec-15"," 8"
"rectangle","Dec-16"," 3"
"rectangle","Feb-13"," 2"
"rectangle","Feb-14"," 2"
"rectangle","Feb-15"," 7"
"rectangle","Feb-16"," 5"
"rectangle","Feb-17"," 3"
"rectangle","Jan-13"," 5"
"rectangle","Jan-14"," 9"
"rectangle","Jan-15"," 7"
"rectangle","Jan-16"," 9"
"rectangle","Jan-17"," 6"
"rectangle","Jul-13"," 12"
"rectangle","Jul-14"," 17"
"rectangle","Jul-15"," 11"
"rectangle","Jul-16"," 19"
"rectangle","Jul-17"," 9"
"rectangle","Jun-13"," 7"
"rectangle","Jun-14"," 16"
"rectangle","Jun-15"," 10"
"rectangle","Jun-16"," 9"
"rectangle","Jun-17"," 7"
"rectangle","Mar-13"," 6"
"rectangle","Mar-14"," 12"
"rectangle","Mar-15"," 11"
"rectangle","Mar-16"," 6"
"rectangle","Mar-17"," 6"
"rectangle","May-13"," 8"
"rectangle","May-14"," 11"
"rectangle","May-15"," 13"
"rectangle","May-16"," 8"
